codec,wrapper,level,dataset,source_kind,family,size_class,input_bytes,compressed_bytes,ratio,compress_ms,decompress_ms,compress_mib_s,decompress_mib_s,comp_mem_bytes,decomp_mem_bytes,ok,note
zragf,zlib,1,alpha.txt,file,text,tiny,36,34,0.944444,10.000,0.000,0.003,0.000,369236,168152,1,ok
zlib,zlib,1,alpha.txt,file,text,tiny,36,35,0.972222,0.000,0.000,0.000,0.000,-1,-1,1,ok
libdeflate,zlib,1,alpha.txt,file,text,tiny,36,47,1.305556,0.000,0.000,0.000,0.000,-1,-1,1,ok
zragf,zlib,6,alpha.txt,file,text,tiny,36,34,0.944444,0.000,0.000,0.000,0.000,369236,168152,1,ok
zlib,zlib,6,alpha.txt,file,text,tiny,36,35,0.972222,0.000,0.000,0.000,0.000,-1,-1,1,ok
libdeflate,zlib,6,alpha.txt,file,text,tiny,36,35,0.972222,0.000,0.000,0.000,0.000,-1,-1,1,ok
zragf,zlib,9,alpha.txt,file,text,tiny,36,34,0.944444,0.000,0.000,0.000,0.000,369236,168152,1,ok
zlib,zlib,9,alpha.txt,file,text,tiny,36,35,0.972222,0.000,0.000,0.000,0.000,-1,-1,1,ok
libdeflate,zlib,9,alpha.txt,file,text,tiny,36,35,0.972222,0.000,0.000,0.000,0.000,-1,-1,1,ok
zragf,zlib,1,binary.bin,file,binary,tiny,257,268,1.042802,0.000,0.000,0.000,0.000,371004,168594,1,ok
zlib,zlib,1,binary.bin,file,binary,tiny,257,268,1.042802,0.000,0.000,0.000,0.000,-1,-1,1,ok
libdeflate,zlib,1,binary.bin,file,binary,tiny,257,268,1.042802,0.000,0.000,0.000,0.000,-1,-1,1,ok
zragf,zlib,6,binary.bin,file,binary,tiny,257,268,1.042802,0.000,0.000,0.000,0.000,371004,168594,1,ok
zlib,zlib,6,binary.bin,file,binary,tiny,257,268,1.042802,0.000,0.000,0.000,0.000,-1,-1,1,ok
libdeflate,zlib,6,binary.bin,file,binary,tiny,257,268,1.042802,0.000,0.000,0.000,0.000,-1,-1,1,ok
zragf,zlib,9,binary.bin,file,binary,tiny,257,268,1.042802,0.000,0.000,0.000,0.000,371004,168594,1,ok
zlib,zlib,9,binary.bin,file,binary,tiny,257,268,1.042802,0.000,0.000,0.000,0.000,-1,-1,1,ok
libdeflate,zlib,9,binary.bin,file,binary,tiny,257,268,1.042802,0.000,0.000,0.000,0.000,-1,-1,1,ok
zragf,zlib,1,sprite.png,file,png,tiny,68,74,1.088235,0.000,10.000,0.000,0.006,369492,168216,1,ok
zlib,zlib,1,sprite.png,file,png,tiny,68,69,1.014706,0.000,0.000,0.000,0.000,-1,-1,1,ok
libdeflate,zlib,1,sprite.png,file,png,tiny,68,74,1.088235,0.000,0.000,0.000,0.000,-1,-1,1,ok
zragf,zlib,6,sprite.png,file,png,tiny,68,74,1.088235,0.000,0.000,0.000,0.000,369492,168216,1,ok
zlib,zlib,6,sprite.png,file,png,tiny,68,69,1.014706,0.000,0.000,0.000,0.000,-1,-1,1,ok
libdeflate,zlib,6,sprite.png,file,png,tiny,68,69,1.014706,0.000,0.000,0.000,0.000,-1,-1,1,ok
zragf,zlib,9,sprite.png,file,png,tiny,68,74,1.088235,0.000,0.000,0.000,0.000,369492,168216,1,ok
zlib,zlib,9,sprite.png,file,png,tiny,68,69,1.014706,0.000,0.000,0.000,0.000,-1,-1,1,ok
libdeflate,zlib,9,sprite.png,file,png,tiny,68,69,1.014706,0.000,0.000,0.000,0.000,-1,-1,1,ok
zragf,zlib,1,strip.tiff,file,tiff,tiny,25,28,1.120000,0.000,0.000,0.000,0.000,369148,168130,1,ok
zlib,zlib,1,strip.tiff,file,tiff,tiny,25,28,1.120000,0.000,0.000,0.000,0.000,-1,-1,1,ok
libdeflate,zlib,1,strip.tiff,file,tiff,tiny,25,36,1.440000,0.000,0.000,0.000,0.000,-1,-1,1,ok
zragf,zlib,6,strip.tiff,file,tiff,tiny,25,28,1.120000,0.000,0.000,0.000,0.000,369148,168130,1,ok
zlib,zlib,6,strip.tiff,file,tiff,tiny,25,28,1.120000,0.000,0.000,0.000,0.000,-1,-1,1,ok
libdeflate,zlib,6,strip.tiff,file,tiff,tiny,25,36,1.440000,0.000,0.000,0.000,0.000,-1,-1,1,ok
zragf,zlib,9,strip.tiff,file,tiff,tiny,25,28,1.120000,0.000,0.000,0.000,0.000,369148,168130,1,ok
zlib,zlib,9,strip.tiff,file,tiff,tiny,25,28,1.120000,0.000,0.000,0.000,0.000,-1,-1,1,ok
libdeflate,zlib,9,strip.tiff,file,tiff,tiny,25,28,1.120000,0.000,0.000,0.000,0.000,-1,-1,1,ok
