codec,wrapper,level,dataset,source_kind,family,size_class,input_bytes,compressed_bytes,ratio,compress_ms,decompress_ms,compress_mib_s,decompress_mib_s,comp_mem_bytes,decomp_mem_bytes,ok,note
zragf,zlib,1,text_small,synthetic,text,small,32768,233,0.007111,0.000,5.000,0.000,6.250,631092,233616,1,ok
zlib,zlib,1,text_small,synthetic,text,small,32768,385,0.011749,0.000,0.000,0.000,0.000,-1,-1,1,ok
libdeflate,zlib,1,text_small,synthetic,text,small,32768,233,0.007111,0.000,0.000,0.000,0.000,-1,-1,1,ok
zragf,zlib,6,text_small,synthetic,text,small,32768,233,0.007111,0.000,0.000,0.000,0.000,631092,233616,1,ok
zlib,zlib,6,text_small,synthetic,text,small,32768,234,0.007141,0.000,0.000,0.000,0.000,-1,-1,1,ok
libdeflate,zlib,6,text_small,synthetic,text,small,32768,233,0.007111,0.000,0.000,0.000,0.000,-1,-1,1,ok
zragf,zlib,9,text_small,synthetic,text,small,32768,233,0.007111,5.000,0.000,6.250,0.000,631092,233616,1,ok
zlib,zlib,9,text_small,synthetic,text,small,32768,234,0.007141,0.000,0.000,0.000,0.000,-1,-1,1,ok
libdeflate,zlib,9,text_small,synthetic,text,small,32768,233,0.007111,0.000,0.000,0.000,0.000,-1,-1,1,ok
zragf,zlib,1,json_medium,synthetic,json,medium,196608,22257,0.113205,45.000,20.000,4.167,9.375,1941872,561296,1,ok
zlib,zlib,1,json_medium,synthetic,json,medium,196608,34361,0.174769,0.000,0.000,0.000,0.000,-1,-1,1,ok
libdeflate,zlib,1,json_medium,synthetic,json,medium,196608,30574,0.155507,0.000,0.000,0.000,0.000,-1,-1,1,ok
zragf,zlib,6,json_medium,synthetic,json,medium,196608,22278,0.113312,60.000,20.000,3.125,9.375,1941872,561296,1,ok
zlib,zlib,6,json_medium,synthetic,json,medium,196608,28202,0.143443,5.000,0.000,37.500,0.000,-1,-1,1,ok
libdeflate,zlib,6,json_medium,synthetic,json,medium,196608,23017,0.117071,5.000,0.000,37.500,0.000,-1,-1,1,ok
zragf,zlib,9,json_medium,synthetic,json,medium,196608,22278,0.113312,65.000,15.000,2.885,12.500,1941872,561296,1,ok
zlib,zlib,9,json_medium,synthetic,json,medium,196608,25941,0.131943,10.000,0.000,18.750,0.000,-1,-1,1,ok
libdeflate,zlib,9,json_medium,synthetic,json,medium,196608,21330,0.108490,15.000,0.000,12.500,0.000,-1,-1,1,ok
zragf,zlib,1,logs_medium,synthetic,logs,medium,262144,18325,0.069904,25.000,20.000,10.000,12.500,2466180,692368,1,ok
zlib,zlib,1,logs_medium,synthetic,logs,medium,262144,28203,0.107586,0.000,0.000,0.000,0.000,-1,-1,1,ok
libdeflate,zlib,1,logs_medium,synthetic,logs,medium,262144,26289,0.100285,5.000,0.000,50.000,0.000,-1,-1,1,ok
zragf,zlib,6,logs_medium,synthetic,logs,medium,262144,18320,0.069885,40.000,15.000,6.250,16.667,2466180,692368,1,ok
zlib,zlib,6,logs_medium,synthetic,logs,medium,262144,23189,0.088459,0.000,0.000,0.000,0.000,-1,-1,1,ok
libdeflate,zlib,6,logs_medium,synthetic,logs,medium,262144,17965,0.068531,0.000,0.000,0.000,0.000,-1,-1,1,ok
zragf,zlib,9,logs_medium,synthetic,logs,medium,262144,18315,0.069866,40.000,20.000,6.250,12.500,2466180,692368,1,ok
zlib,zlib,9,logs_medium,synthetic,logs,medium,262144,20317,0.077503,5.000,0.000,50.000,0.000,-1,-1,1,ok
libdeflate,zlib,9,logs_medium,synthetic,logs,medium,262144,17079,0.065151,10.000,0.000,25.000,0.000,-1,-1,1,ok
zragf,zlib,1,png_scanlines,synthetic,png,medium,131584,109533,0.832419,20.000,455.000,6.274,0.276,1421660,431248,1,ok
zlib,zlib,1,png_scanlines,synthetic,png,medium,131584,103901,0.789617,5.000,0.000,25.098,0.000,-1,-1,1,ok
libdeflate,zlib,1,png_scanlines,synthetic,png,medium,131584,109596,0.832898,0.000,0.000,0.000,0.000,-1,-1,1,ok
zragf,zlib,6,png_scanlines,synthetic,png,medium,131584,109341,0.830960,155.000,460.000,0.810,0.273,1421660,431248,1,ok
zlib,zlib,6,png_scanlines,synthetic,png,medium,131584,103582,0.787193,5.000,0.000,25.098,0.000,-1,-1,1,ok
libdeflate,zlib,6,png_scanlines,synthetic,png,medium,131584,100587,0.764432,0.000,0.000,0.000,0.000,-1,-1,1,ok
zragf,zlib,9,png_scanlines,synthetic,png,medium,131584,109341,0.830960,155.000,455.000,0.810,0.276,1421660,431248,1,ok
zlib,zlib,9,png_scanlines,synthetic,png,medium,131584,103582,0.787193,0.000,5.000,0.000,25.098,-1,-1,1,ok
libdeflate,zlib,9,png_scanlines,synthetic,png,medium,131584,100587,0.764432,0.000,0.000,0.000,0.000,-1,-1,1,ok
zragf,zlib,1,photoish_medium,synthetic,photo,medium,262144,261996,0.999435,35.000,1100.000,7.143,0.227,2466180,692368,1,ok
zlib,zlib,1,photoish_medium,synthetic,photo,medium,262144,257715,0.983105,10.000,0.000,25.000,0.000,-1,-1,1,ok
libdeflate,zlib,1,photoish_medium,synthetic,photo,medium,262144,262124,0.999924,5.000,0.000,50.000,0.000,-1,-1,1,ok
zragf,zlib,6,photoish_medium,synthetic,photo,medium,262144,261996,0.999435,215.000,1095.000,1.163,0.228,2466180,692368,1,ok
zlib,zlib,6,photoish_medium,synthetic,photo,medium,262144,261920,0.999146,5.000,5.000,50.000,50.000,-1,-1,1,ok
libdeflate,zlib,6,photoish_medium,synthetic,photo,medium,262144,260957,0.995472,5.000,0.000,50.000,0.000,-1,-1,1,ok
zragf,zlib,9,photoish_medium,synthetic,photo,medium,262144,261996,0.999435,215.000,1110.000,1.163,0.225,2466180,692368,1,ok
zlib,zlib,9,photoish_medium,synthetic,photo,medium,262144,261920,0.999146,5.000,0.000,50.000,0.000,-1,-1,1,ok
libdeflate,zlib,9,photoish_medium,synthetic,photo,medium,262144,260957,0.995472,5.000,0.000,50.000,0.000,-1,-1,1,ok
zragf,zlib,1,normalmap_medium,synthetic,normalmap,medium,262144,1510,0.005760,15.000,15.000,16.667,16.667,2466180,692368,1,ok
zlib,zlib,1,normalmap_medium,synthetic,normalmap,medium,262144,2262,0.008629,0.000,0.000,0.000,0.000,-1,-1,1,ok
libdeflate,zlib,1,normalmap_medium,synthetic,normalmap,medium,262144,1551,0.005917,0.000,0.000,0.000,0.000,-1,-1,1,ok
zragf,zlib,6,normalmap_medium,synthetic,normalmap,medium,262144,1510,0.005760,25.000,10.000,10.000,25.000,2466180,692368,1,ok
zlib,zlib,6,normalmap_medium,synthetic,normalmap,medium,262144,1420,0.005417,0.000,5.000,0.000,50.000,-1,-1,1,ok
libdeflate,zlib,6,normalmap_medium,synthetic,normalmap,medium,262144,1523,0.005810,0.000,0.000,0.000,0.000,-1,-1,1,ok
zragf,zlib,9,normalmap_medium,synthetic,normalmap,medium,262144,1510,0.005760,30.000,10.000,8.333,25.000,2466180,692368,1,ok
zlib,zlib,9,normalmap_medium,synthetic,normalmap,medium,262144,1420,0.005417,0.000,0.000,0.000,0.000,-1,-1,1,ok
libdeflate,zlib,9,normalmap_medium,synthetic,normalmap,medium,262144,1523,0.005810,0.000,0.000,0.000,0.000,-1,-1,1,ok
zragf,zlib,1,binary_medium,synthetic,binary,medium,262144,262175,1.000118,35.000,10.000,7.143,25.000,2466180,692368,1,ok
zlib,zlib,1,binary_medium,synthetic,binary,medium,262144,262230,1.000328,5.000,0.000,50.000,0.000,-1,-1,1,ok
libdeflate,zlib,1,binary_medium,synthetic,binary,medium,262144,262175,1.000118,5.000,0.000,50.000,0.000,-1,-1,1,ok
zragf,zlib,6,binary_medium,synthetic,binary,medium,262144,262175,1.000118,35.000,10.000,7.143,25.000,2466180,692368,1,ok
zlib,zlib,6,binary_medium,synthetic,binary,medium,262144,262230,1.000328,5.000,0.000,50.000,0.000,-1,-1,1,ok
libdeflate,zlib,6,binary_medium,synthetic,binary,medium,262144,262175,1.000118,0.000,0.000,0.000,0.000,-1,-1,1,ok
zragf,zlib,9,binary_medium,synthetic,binary,medium,262144,262175,1.000118,40.000,15.000,6.250,16.667,2466180,692368,1,ok
zlib,zlib,9,binary_medium,synthetic,binary,medium,262144,262230,1.000328,5.000,0.000,50.000,0.000,-1,-1,1,ok
libdeflate,zlib,9,binary_medium,synthetic,binary,medium,262144,262175,1.000118,0.000,0.000,0.000,0.000,-1,-1,1,ok
